Product Name,Description,,Category
Fixed-Rate Home Loan,"Loan Amount: Up to $500,000. Interest Rate: 6% APR. Tenure: Up to 30 years. Features: Fixed interest rate, Predictable monthly payments. Similar Products: Standard Home Loan, Long-Term Fixed Loan.",,Home Loans
Adjustable-Rate Mortgage (ARM),"Loan Amount: Up to $750,000. Interest Rate: 5.5% APR (variable). Tenure: Up to 25 years. Features: Lower initial rates, Adjusts based on market. Similar Products: Hybrid ARM Loan, Flexible Interest Loan.",,Home Loans
First-Time Home Buyer Loan,"Loan Amount: Up to $300,000. Interest Rate: 5.75% APR. Tenure: Up to 20 years. Features: Low down payment, Special incentives. Similar Products: Beginner Home Loan, Affordable Housing Loan.",,Home Loans
Jumbo Home Loan,"Loan Amount: $750,000 - $2,000,000. Interest Rate: 7% APR. Tenure: Up to 30 years. Features: Higher borrowing capacity, Competitive rates. Similar Products: Luxury Property Loan, Elite Mortgage Loan.",,Home Loans
VA Home Loan,"Loan Amount: Up to $600,000. Interest Rate: 4.99% APR. Tenure: Up to 30 years. Features: No down payment required, Exclusive for veterans. Similar Products: Military Home Loan, Armed Forces Housing Loan.",,Home Loans
Construction Loan,"Loan Amount: Up to $1,000,000. Interest Rate: 6.75% APR. Tenure: Up to 15 years. Features: Fund new home construction, Flexible disbursements. Similar Products: Builderâ€™s Loan, Property Development Loan.",,Home Loans
Home Equity Loan,"Loan Amount: Up to $250,000. Interest Rate: 7.25% APR. Tenure: Up to 15 years. Features: Use home equity as collateral, Fixed repayments. Similar Products: Second Mortgage Loan, Property Equity Loan.",,Home Loans
Refinance Loan,"Loan Amount: Based on existing mortgage. Interest Rate: 5.5% APR. Tenure: Up to 20 years. Features: Lower monthly payments, Better interest rate. Similar Products: Mortgage Refinancing Loan, Rate Reduction Loan.",,Home Loans
Green Home Loan,"Loan Amount: Up to $400,000. Interest Rate: 5.75% APR. Tenure: Up to 25 years. Features: Special rates for eco-friendly homes. Similar Products: Solar Home Loan, Energy-Efficient Mortgage.",,Home Loans
Reverse Mortgage Loan,"Loan Amount: Based on home value. Interest Rate: 6.5% APR. Tenure: Lifetime. Features: No monthly payments, Payment based on equity. Similar Products: Senior Home Loan, Lifetime Equity Loan.",,Home Loans
